logFC,AveExpr,t,P.Value,adj.P.Val,B,Gene,Comparisons,Symbol
1.067349561,3.539384263,4.026291663,0.000151431,0.009937812,0.613040676,ENSG00000105708,Sig_Sp_inter_Traj515,ZNF14
-2.194204082,-0.647114917,-4.012755982,0.000158543,0.0100294,0.795912477,ENSG00000189420,Sig_Sp_inter_Traj515,ZFP92
1.240944256,5.510418915,3.985892232,0.000173621,0.010361597,0.33242556,ENSG00000089335,Sig_Sp_inter_Traj515,ZNF302
1.180491357,1.883609801,3.52669348,0.000780008,0.024514773,-0.758189187,ENSG00000189144,Sig_Sp_inter_Traj515,ZNF573
1.182597444,1.458585042,3.427380795,0.001065099,0.028941825,-0.977102165,ENSG00000204514,Sig_Sp_inter_Traj515,ZNF814
1.166836296,3.850471676,3.423213494,0.001078994,0.029070342,-1.27126217,ENSG00000256771,Sig_Sp_inter_Traj515,ZNF253
0.80249128,3.168047209,3.421019433,0.001086378,0.02907119,-1.145191727,ENSG00000141040,Sig_Sp_inter_Traj515,ZNF287
0.970411441,3.507099925,3.42043392,0.001088357,0.029074943,-1.207354741,ENSG00000196345,Sig_Sp_inter_Traj515,ZKSCAN7
-2.583776278,-2.227019124,-3.389386482,0.001198301,0.030764812,-0.98281447,ENSG00000189190,Sig_Sp_inter_Traj515,ZNF600
1.249945967,1.740066112,3.238502887,0.001898979,0.040043133,-1.507417977,ENSG00000243660,Sig_Sp_inter_Traj515,ZNF487
0.965520824,3.99243218,3.228472934,0.001957145,0.040796922,-1.83470833,ENSG00000197124,Sig_Sp_inter_Traj515,ZNF682
0.813895103,5.120160593,3.213593451,0.002046525,0.041734984,-1.95314194,ENSG00000164048,Sig_Sp_inter_Traj515,ZNF589
0.806779922,3.872388175,3.186021377,0.002222362,0.044154085,-1.959846836,ENSG00000177842,Sig_Sp_inter_Traj515,ZNF620
1.113863809,3.017590321,3.145641915,0.00250559,0.04721562,-1.902666103,ENSG00000189164,Sig_Sp_inter_Traj515,ZNF527
0.853985689,4.853613509,3.14111593,0.002539361,0.047414403,-2.119550022,ENSG00000120784,Sig_Sp_inter_Traj515,ZFP30
0.978907038,2.595448892,3.112763228,0.002760802,0.049956615,-2.0018831,ENSG00000178150,Sig_Sp_inter_Traj515,ZNF114
